Title,Score,Image
Pok�mon: Destiny Deoxys, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1122-HCkAs0hqlJwK.jpg 
Pok�mon: Lucario and the Mystery of Mew, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b1526-ddJiHHGNikuY.png 
Pok�mon Ranger and the Temple of the Sea, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2201-1B1dS0NLJ3g5.jpg 
Pok�mon: The Rise of Darkrai, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2847-BBQFXVTiy6H7.jpg 
Pok�mon: Giratina and the Sky Warrior, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4026-HO7477AL7ym5.jpg 
Pok�mon: Arceus and the Jewel of Life, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6178-QtPWVxYMR2V5.png 
Pok�mon: Zoroark�Master of Illusions, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx7695-bgE6h1GXxWMG.jpg 
Pok�mon the Movie: Black�Victini and Reshiram, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/10740.jpg 
Pok�mon the Movie: White�Victini and Zekrom, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/9917.jpg 
Pok�mon the Movie: Kyurem VS. The Sword of Justice, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx12671-q8KLIPmicj8R.jpg 
Pok�mon the Movie: Genesect and the Legend Awakened, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/16680.jpg 
Pok�mon the Movie: Diancie and the Cocoon of Destruction, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b20644-qgK3C0fOFR8b.jpg 
Pok�mon the Movie: Hoopa and the Clash of Ages, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21266-5okUsTjY5nJl.png 
Pok�mon the Movie: Volcanion and the Mechanical Marvel, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21651-VtWkaIPJLDT1.png 
Pok�mon the Movie: I Choose You!, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98298-Yqus4jNiTNgf.png 
Pok�mon the Movie: The Power of Us,100,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100744-Ys3JTKSHg3Gv.png
Pok�mon: Mewtwo Strikes Back�Evolution, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx106287-THH8DMCFuVNc.png 
Pok�mon the Series: Sun & Moon, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97634-9pF5dOufTtRC.png 
Pok�mon the Series: XY, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx19291-jwGqfWIXPtGA.png 
Pok�mon the Series: XYZ, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21356-bHTUPdtd8xy2.jpg 
Pok�mon the Series: XYZ Specials, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx106499-A5wIhqydkuAm.jpg 
Pok�mon the Series: XY Mega Evolution Specials, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/20683.jpg 
Pok�mon: Mewtwo Returns, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1709-vQoFgnySwLOq.jpg 
Pok�mon Origins, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20159-Q4VpDs7q2j3O.png 
Spirited Away, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx199-ehguwq1mPvtN.jpg 
Sword Art Online, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx11757-Q9P2zjCPICq5.jpg 
Sword Art Online II, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20594-FhRgZ1H9Istt.jpg 
Sword Art Offline II, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21155-cW5V6F8ViSXE.jpg 
Sword Art Online the Movie: Ordinal Scale, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx21403-k8DZhZ3x1BCO.png 
Sword Art Online Movie: Ordinal Scale - Sword Art Offline, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101965-UWIMqsKEES1n.jpg 
Sword Art Online EXTRA EDITION, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20021-BZA5XTwahXPj.png 
Sword Art OFFline, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/16099.jpg 
Castle in the Sky, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx513-G47zqEhndFBY.jpg 
My Neighbor Totoro, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx523-gOsP34LWBXTn.jpg 
Toradora!, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4224-3Bh0rm99N6Vl.jpg 
Uzaki-chan Wants to Hang Out!, 65, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx115113-bJDZV7kP0XrP.png 
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx125368-QhcBkbNP0ZfU.png 
Gintama, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx918-hRbQHIkRUebX.jpg 
Pok�mon Evolutions, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx138699-V0PBmiG6hnuf.jpg 
Pok�mon the Movie: Secrets of the Jungle, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx114564-Imh6m5Tejii6.jpg 
Demon Slayer: Kimetsu no Yaiba, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101922-PEn1CTc93blC.jpg 
My Hero Academia Season 2, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21856-gutauxhWAwn6.png 
My Hero Academia Season 3, 75, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100166-jUCZYbzn2XLw.jpg 
Romantic Killer, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx153930-iL3yOVS63IVR.jpg 
Dr. STONE: STONE WARS, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113936-41Lz6Vtmfh1A.jpg 
JoJo's Bizarre Adventure (TV), 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx14719-XFOPewvDtDdA.jpg 
Noragami Aragoto, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21128-eQgH3TG4nngo.jpg 
Noragami OVA, 60, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20494-HllvnQ1mRIxe.jpg 
Initial D Fifth Stage, 75, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/15059.jpg 
Initial D Final Stage, 85, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx19613-5vb40lsFXudd.png 
Dr. STONE Special Episode � RYUSUI, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx142876-izO35hPP2DZ9.jpg 
Noragami ARAGOTO OVA,80,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx119941-uspTZH6EoZer.jpg
Attack on Titan, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx16498-C6FPmWm59CyP.jpg 
Natsume's Book of Friends, 90, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4081-33BLrdaPdZjP.jpg 
Death Parade, 95, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20931-bktYqOcxPERi.jpg 
Death Billiards, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx14353-aV7ePEFdUQ52.png 
Record of Ragnarok, 75, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx127399-AAH1pevCZLrB.jpg 
INUYASHIKI LAST HERO, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97922-qrGn5fkQinDs.jpg 
Attack on Titan Season 2, 95, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20958-HuFJyr54Mmir.jpg 
Ya Boy Kongming!, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx141774-iteNFzPq2oGw.jpg 
Gintama Season 2, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9969-XyP8TZwb3L6S.png 
Farming Life in Another World, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx146850-xfeAFIE0M9hl.jpg 
MUSHI-SHI, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx457-Si9avlyStAXj.png 
Akame ga Kill!, 35, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20613-4VGGPacciJBL.jpg 
Attack on Titan Season 3, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99147-5RXELRvwjFl6.jpg 
Attack on Titan OVA, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx18397-AnpwhLkSjYL1.jpg 
Cells at Work!, 75, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx100977-qXCh0qB9on52.jpg 
Record of Ragnarok II, 85, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx138056-r6wKvl71ddar.jpg 
MUSHI-SHI OVA, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20526-PmuD69J3rkDF.png 
MUSHI-SHI The Next Passage, 85, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20595-dXPvrTNRKFUb.jpg 
Record of Ragnarok II Part 2, 85, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx165356-JllyKMqTyVpe.png 
Wandering Witch: The Journey of Elaina, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112609-dbpOh4fdXAlC.jpg 
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train, 100, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112151-1qlQwPB1RrJe.png 
Demon Slayer: Kimetsu no Yaiba Entertainment District Arc, 95, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx142329-kET1PIXJv2eW.jpg 
Tonari no Seki-kun: The Master of Killing Time, 70, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx18139-6U8NSBf7ncd8.jpg 
Code Geass: Lelouch of the Rebellion, 95, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1575-ZJYlg8yjvMKI.jpg 
MUSHI-SHI The Next Passage Special - Path of Thorns, 80, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20752-P5EpEJXWGroz.jpg 
PUPARIA, 0, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx126287-dgh91tFWDlPg.png 
